00FE,ZC_REQ_JOIN_GROUP
00FF,CZ_JOIN_GROUP
0100,CZ_REQ_LEAVE_GROUP
0101,ZC_GROUPINFO_CHANGE
0102,CZ_CHANGE_GROUPEXPOPTION
0103,CZ_REQ_EXPEL_GROUP_MEMBER
0104,ZC_ADD_MEMBER_TO_GROUP
0105,ZC_DELETE_MEMBER_FROM_GROUP
0106,ZC_NOTIFY_HP_TO_GROUPM
0107,ZC_NOTIFY_POSITION_TO_GROUPM
0108,CZ_REQUEST_CHAT_PARTY
0109,ZC_NOTIFY_CHAT_PARTY
010A,ZC_MVP_GETTING_ITEM
010B,ZC_MVP_GETTING_SPECIAL_EXP
010C,ZC_MVP
010D,ZC_THROW_MVPITEM
010E,ZC_SKILLINFO_UPDATE
010F,ZC_SKILLINFO_LIST
0110,ZC_ACK_TOUSESKILL
0111,ZC_ADD_SKILL
0112,CZ_UPGRADE_SKILLLEVEL
0113,CZ_USE_SKILL
0114,ZC_NOTIFY_SKILL
0115,ZC_NOTIFY_SKILL_POSITION
0116,CZ_USE_SKILL_TOGROUND
0117,ZC_NOTIFY_GROUNDSKILL
0118,CZ_CANCEL_LOCKON
0119,ZC_STATE_CHANGE
011A,ZC_USE_SKILL
011B,CZ_SELECT_WARPPOINT
011C,ZC_WARPLIST
011D,CZ_REMEMBER_WARPPOINT
011E,ZC_ACK_REMEMBER_WARPPOINT
011F,ZC_SKILL_ENTRY
0120,ZC_SKILL_DISAPPEAR
0121,ZC_NOTIFY_CARTITEM_COUNTINFO
0122,ZC_CART_EQUIPMENT_ITEMLIST
0123,ZC_CART_NORMAL_ITEMLIST
0124,ZC_ADD_ITEM_TO_CART
0125,ZC_DELETE_ITEM_FROM_CART
0126,CZ_MOVE_ITEM_FROM_BODY_TO_CART
0127,CZ_MOVE_ITEM_FROM_CART_TO_BODY
0128,CZ_MOVE_ITEM_FROM_STORE_TO_CART
0129,CZ_MOVE_ITEM_FROM_CART_TO_STORE
012A,CZ_REQ_CARTOFF
012B,ZC_CARTOFF
012C,ZC_ACK_ADDITEM_TO_CART
012D,ZC_OPENSTORE
012E,CZ_REQ_CLOSESTORE
012F,CZ_REQ_OPENSTORE
0130,CZ_REQ_BUY_FROMMC
0131,ZC_STORE_ENTRY
0132,ZC_DISAPPEAR_ENTRY
0133,ZC_PC_PURCHASE_ITEMLIST_FROMMC
0134,CZ_PC_PURCHASE_ITEMLIST_FROMMC
0135,ZC_PC_PURCHASE_RESULT_FROMMC
0136,ZC_PC_PURCHASE_MYITEMLIST
0137,ZC_DELETEITEM_FROM_MCSTORE
0138,CZ_PKMODE_CHANGE
0139,ZC_ATTACK_FAILURE_FOR_DISTANCE
013A,ZC_ATTACK_RANGE
013B,ZC_ACTION_FAILURE
013C,ZC_EQUIP_ARROW
013D,ZC_RECOVERY
013E,ZC_USESKILL_ACK
013F,CZ_ITEM_CREATE
0140,CZ_MOVETO_MAP
0141,ZC_COUPLESTATUS
0142,ZC_OPEN_EDITDLG
0143,CZ_INPUT_EDITDLG
0144,ZC_COMPASS
0145,ZC_SHOW_IMAGE
0146,CZ_CLOSE_DIALOG
0147,ZC_AUTORUN_SKILL
0148,ZC_RESURRECTION
0149,CZ_REQ_GIVE_MANNER_POINT
014A,ZC_ACK_GIVE_MANNER_POINT
014B,ZC_NOTIFY_MANNER_POINT_GIVEN
014C,ZC_MYGUILD_BASIC_INFO
014D,CZ_REQ_GUILD_MENUINTERFACE
014E,ZC_ACK_GUILD_MENUINTERFACE
014F,CZ_REQ_GUILD_MENU
0150,ZC_GUILD_INFO
0151,CZ_REQ_GUILD_EMBLEM_IMG
0152,ZC_GUILD_EMBLEM_IMG
0153,CZ_REGISTER_GUILD_EMBLEM_IMG
0154,ZC_MEMBERMGR_INFO
0155,CZ_REQ_CHANGE_MEMBERPOS
0156,ZC_ACK_REQ_CHANGE_MEMBERS
0157,CZ_REQ_OPEN_MEMBER_INFO
0158,ZC_ACK_OPEN_MEMBER_INFO
0159,CZ_REQ_LEAVE_GUILD
015A,ZC_ACK_LEAVE_GUILD
015B,CZ_REQ_BAN_GUILD
015C,ZC_ACK_BAN_GUILD
015D,CZ_REQ_DISORGANIZE_GUILD
015E,ZC_ACK_DISORGANIZE_GUILD_RESULT
015F,ZC_ACK_DISORGANIZE_GUILD
0160,ZC_POSITION_INFO
0161,CZ_REG_CHANGE_GUILD_POSITIONINFO
0162,ZC_GUILD_SKILLINFO
0163,ZC_BAN_LIST
0164,ZC_OTHER_GUILD_LIST
0165,CZ_REQ_MAKE_GUILD
0166,ZC_POSITION_ID_NAME_INFO
0167,ZC_RESULT_MAKE_GUILD
0168,CZ_REQ_JOIN_GUILD
0169,ZC_ACK_REQ_JOIN_GUILD
016A,ZC_REQ_JOIN_GUILD
016B,CZ_JOIN_GUILD
016C,ZC_UPDATE_GDID
016D,ZC_UPDATE_CHARSTAT
016E,CZ_GUILD_NOTICE
016F,ZC_GUILD_NOTICE
0170,CZ_REQ_ALLY_GUILD
0171,ZC_REQ_ALLY_GUILD
0172,CZ_ALLY_GUILD
0173,ZC_ACK_REQ_ALLY_GUILD
0174,ZC_ACK_CHANGE_GUILD_POSITIONINFO
0175,CZ_REQ_GUILD_MEMBER_INFO
0176,ZC_ACK_GUILD_MEMBER_INFO
0177,ZC_ITEMIDENTIFY_LIST
0178,CZ_REQ_ITEMIDENTIFY
0179,ZC_ACK_ITEMIDENTIFY
017A,CZ_REQ_ITEMCOMPOSITION_LIST
017B,ZC_ITEMCOMPOSITION_LIST
017C,CZ_REQ_ITEMCOMPOSITION
017D,ZC_ACK_ITEMCOMPOSITION
017E,CZ_GUILD_CHAT
017F,ZC_GUILD_CHAT
0180,CZ_REQ_HOSTILE_GUILD
0181,ZC_ACK_REQ_HOSTILE_GUILD
0182,ZC_MEMBER_ADD
0183,CZ_REQ_DELETE_RELATED_GUILD
0184,ZC_DELETE_RELATED_GUILD
0185,ZC_ADD_RELATED_GUILD
0186,COLLECTORDEAD
0187,PING
0188,ZC_ACK_ITEMREFINING
0189,ZC_NOTIFY_MAPINFO
018A,CZ_REQ_DISCONNECT
018B,ZC_ACK_REQ_DISCONNECT
018C,ZC_MONSTER_INFO
018D,ZC_MAKABLEITEMLIST
018E,CZ_REQMAKINGITEM
018F,ZC_ACK_REQMAKINGITEM
0190,CZ_USE_SKILL_TOGROUND_WITHTALKBOX
0191,ZC_TALKBOX_CHATCONTENTS
0192,ZC_UPDATE_MAPINFO
0193,CZ_REQNAME_BYGID
0194,ZC_ACK_REQNAME_BYGID
0195,ZC_ACK_REQNAMEALL
0196,ZC_MSG_STATE_CHANGE
0197,CZ_RESET
0198,CZ_CHANGE_MAPTYPE
0199,ZC_NOTIFY_MAPPROPERTY
019A,ZC_NOTIFY_RANKING
019B,ZC_NOTIFY_EFFECT
019D,CZ_CHANGE_EFFECTSTATE
019E,ZC_START_CAPTURE
019F,CZ_TRYCAPTURE_MONSTER
01A0,ZC_TRYCAPTURE_MONSTER
01A1,CZ_COMMAND_PET
01A2,ZC_PROPERTY_PET
01A3,ZC_FEED_PET
01A4,ZC_CHANGESTATE_PET
01A5,CZ_RENAME_PET
01A6,ZC_PETEGG_LIST
01A7,CZ_SELECT_PETEGG
01A8,CZ_PETEGG_INFO
01A9,CZ_PET_ACT
01AA,ZC_PET_ACT
01AB,ZC_PAR_CHANGE_USER
01AC,ZC_SKILL_UPDATE
01AD,ZC_MAKINGARROW_LIST
01AE,CZ_REQ_MAKINGARROW
01AF,CZ_REQ_CHANGECART
01B0,ZC_NPCSPRITE_CHANGE
01B1,ZC_SHOWDIGIT
01B2,CZ_REQ_OPENSTORE2
01B3,ZC_SHOW_IMAGE2
01B4,ZC_CHANGE_GUILD
01B5,SC_BILLING_INFO
01B6,ZC_GUILD_INFO2
01B7,CZ_GUILD_ZENY
01B8,ZC_GUILD_ZENY_ACK
01B9,ZC_DISPEL
01BA,CZ_REMOVE_AID
01BB,CZ_SHIFT
01BC,CZ_RECALL
01BD,CZ_RECALL_GID
01BE,AC_ASK_PNGAMEROOM
01BF,CA_REPLY_PNGAMEROOM
01C0,CZ_REQ_REMAINTIME
01C1,ZC_REPLY_REMAINTIME
01C2,ZC_INFO_REMAINTIME
01C3,ZC_BROADCAST2
01C4,ZC_ADD_ITEM_TO_STORE2
01C5,ZC_ADD_ITEM_TO_CART2
01C6,CS_REQ_ENCRYPTION
01C7,SC_ACK_ENCRYPTION
01C8,ZC_USE_ITEM_ACK2
01C9,ZC_SKILL_ENTRY2
01CA,CZ_REQMAKINGHOMUN
01CB,CZ_MONSTER_TALK
01CC,ZC_MONSTER_TALK
01CD,ZC_AUTOSPELLLIST
01CE,CZ_SELECTAUTOSPELL
01CF,ZC_DEVOTIONLIST
01D0,ZC_SPIRITS
01D1,ZC_BLADESTOP
01D2,ZC_COMBODELAY
01D3,ZC_SOUND
01D4,ZC_OPEN_EDITDLGSTR
01D5,CZ_INPUT_EDITDLGSTR
01D6,ZC_NOTIFY_MAPPROPERTY2
01D7,ZC_SPRITE_CHANGE2
01D8,ZC_NOTIFY_STANDENTRY2
01D9,ZC_NOTIFY_NEWENTRY2
01DA,ZC_NOTIFY_MOVEENTRY2
01DB,CA_REQ_HASH
01DC,AC_ACK_HASH
01DD,CA_LOGIN2
01DE,ZC_NOTIFY_SKILL2
01DF,CZ_REQ_ACCOUNTNAME
01E0,ZC_ACK_ACCOUNTNAME
01E1,ZC_SPIRITS2
01E2,ZC_REQ_COUPLE
01E3,CZ_JOIN_COUPLE
01E4,ZC_START_COUPLE
01E5,CZ_REQ_JOIN_COUPLE
01E6,ZC_COUPLENAME
01E7,CZ_DORIDORI
01E8,CZ_MAKE_GROUP2
01E9,ZC_ADD_MEMBER_TO_GROUP2
01EA,ZC_CONGRATULATION
01EB,ZC_NOTIFY_POSITION_TO_GUILDM
01EC,ZC_GUILD_MEMBER_MAP_CHANGE
01ED,CZ_CHOPOKGI
01EE,ZC_NORMAL_ITEMLIST2
01EF,ZC_CART_NORMAL_ITEMLIST2
01F0,ZC_STORE_NORMAL_ITEMLIST2
01F1,AC_NOTIFY_ERROR
01F2,ZC_UPDATE_CHARSTAT2
01F3,ZC_NOTIFY_EFFECT2
